mol%CeO2,"Ms (K, Eddie)","T0 (K, Eddie)",Ms (K),T0 (K)
7.939698492,787.2496336,916.5434075,706.3496336,797.7434075
8.040201005,778.6482235,908.7628545,697.7482235,789.9628545
8.140703518,769.9933764,900.9679321,689.0933764,782.1679321
8.24120603,761.2850923,893.1586404,680.3850923,774.3586404
8.341708543,752.5233711,885.3349794,671.6233711,766.5349794
8.442211055,743.7082129,877.4969491,662.8082129,758.6969491
8.542713568,734.8396177,869.6445494,653.9396177,750.8445494
8.64321608,725.9175854,861.7777804,645.0175854,742.9777804
8.743718593,716.9421161,853.896642,636.0421161,735.096642
8.844221106,707.9132098,846.0011343,627.0132098,727.2011343
8.944723618,698.8308664,838.0912573,617.9308664,719.2912573
9.045226131,689.695086,830.1670109,608.795086,711.3670109
9.145728643,680.5058685,822.2283952,599.6058685,703.4283952
9.246231156,671.2632141,814.2754102,590.3632141,695.4754102
9.346733668,661.9671225,806.3080559,581.0671225,687.5080559
9.447236181,652.617594,798.3263322,571.717594,679.5263322
9.547738693,643.2146284,790.3302391,562.3146284,671.5302391
9.648241206,633.7582258,782.3197768,552.8582258,663.5197768
9.748743719,624.2483862,774.2949451,543.3483862,655.4949451
9.849246231,614.6851095,766.255744,533.7851095,647.455744
9.949748744,605.0683957,758.2021737,524.1683957,639.4021737
10.05025126,595.398245,750.134234,514.498245,631.334234
10.15075377,585.6746572,742.051925,504.7746572,623.251925
10.25125628,575.8976324,733.9552466,494.9976324,615.1552466
10.35175879,566.0671705,725.8441989,485.1671705,607.0441989
10.45226131,556.1832716,717.7187818,475.2832716,598.9187818
10.55276382,546.2459357,709.5789955,465.3459357,590.7789955
10.65326633,536.2551627,701.4248398,455.3551627,582.6248398
10.75376884,526.2109528,693.2563147,445.3109528,574.4563147
10.85427136,516.1133057,685.0734204,435.2133057,566.2734204
10.95477387,505.9622217,676.8761567,425.0622217,558.0761567
11.05527638,495.7577006,668.6645236,414.8577006,549.8645236
11.15577889,485.4997424,660.4385212,404.5997424,541.6385212
11.25628141,475.1883473,652.1981495,394.2883473,533.3981495
11.35678392,464.8235151,643.9434085,383.9235151,525.1434085
11.45728643,454.4052458,635.6742981,373.5052458,516.8742981
11.55778894,443.9335396,627.3908184,363.0335396,508.5908184
11.65829146,433.4083963,619.0929694,352.5083963,500.2929694
11.75879397,422.8298159,610.780751,341.9298159,491.980751
11.85929648,412.1977985,602.4541633,331.2977985,483.6541633
11.95979899,401.5123441,594.1132062,320.6123441,475.3132062
12.06030151,390.7734527,585.7578799,309.8734527,466.9578799
12.16080402,379.9811242,577.3881841,299.0811242,458.5881841
12.26130653,369.1353587,569.0041191,288.2353587,450.2041191
12.36180905,358.2361562,560.6056847,277.3361562,441.8056847
12.46231156,347.2835166,552.192881,266.3835166,433.392881
12.56281407,336.27744,543.7657079,255.37744,424.9657079
12.66331658,325.2179263,535.3241656,244.3179263,416.5241656
12.7638191,314.1049756,526.8682538,233.2049756,408.0682538
12.86432161,302.9385879,518.3979728,222.0385879,399.5979728
12.96482412,291.7187632,509.9133224,210.8187632,391.1133224
13.06532663,280.4455014,501.4143027,199.5455014,382.6143027
13.16582915,269.1188026,492.9009136,188.2188026,374.1009136
13.26633166,257.7386667,484.3731552,176.8386667,365.5731552
13.36683417,246.3050938,475.8310275,165.4050938,357.0310275
13.46733668,234.8180839,467.2745304,153.9180839,348.4745304
13.5678392,223.2776369,458.703664,142.3776369,339.903664
13.66834171,211.6837529,450.1184283,130.7837529,331.3184283
13.76884422,200.0364319,441.5188233,119.1364319,322.7188233
13.86934673,188.3356738,432.9048489,107.4356738,314.1048489
13.96984925,176.5814788,424.2765051,95.68147875,305.4765051
14.07035176,164.7738466,415.6337921,83.87384662,296.8337921
